      Thread ID |                 Name |         Average |             Min |             Max |            Call 
           1404 |                alloc |      648.204 us |      477.000 us |     5229.000 us |           99998 
           1404 |                 free |      601.221 us |      487.000 us |     4866.000 us |           99998 
          18704 |                alloc |      655.213 us |      471.000 us |     5454.000 us |           99998 
          18704 |                 free |      596.524 us |      488.000 us |     4254.000 us |           99998 
          13228 |                alloc |      653.458 us |      477.000 us |     4585.000 us |           99998 
          13228 |                 free |      594.056 us |      488.000 us |     6078.000 us |           99998 
          13056 |                  new |     5527.728 us |     3634.000 us |    98018.000 us |           99998 
          13056 |               delete |     3823.246 us |     2117.000 us |    47989.000 us |           99998 
          19664 |                  new |     5474.315 us |     3598.000 us |    92174.000 us |           99998 
          19664 |               delete |     3793.761 us |     2125.000 us |    46587.000 us |           99998 
           4720 |                  new |     5531.288 us |     3619.000 us |    99635.000 us |           99998 
           4720 |               delete |     3826.696 us |     2128.000 us |    51746.000 us |           99998 
