      Thread ID |                 Name |         Average |             Min |             Max |            Call 
          19684 |                alloc |       67.426 us |       47.000 us |     3004.000 us |           99998 
          19684 |                 free |       58.440 us |       46.000 us |     2718.000 us |           99998 
          12428 |                alloc |       68.126 us |       47.000 us |     3090.000 us |           99998 
          12428 |                 free |       57.732 us |       47.000 us |     2195.000 us |           99998 
           2640 |                alloc |       70.323 us |       47.000 us |     2594.000 us |           99998 
           2640 |                 free |       58.635 us |       46.000 us |     3303.000 us |           99998 
           9548 |                  new |      765.477 us |      357.000 us |    14174.000 us |           99998 
           9548 |               delete |      350.779 us |      174.000 us |     6978.000 us |           99998 
           2500 |                  new |      758.990 us |      363.000 us |    13081.000 us |           99998 
           2500 |               delete |      346.536 us |      175.000 us |     8324.000 us |           99998 
          19812 |                  new |      758.499 us |      357.000 us |    13709.000 us |           99998 
          19812 |               delete |      357.783 us |      175.000 us |     8620.000 us |           99998 
