      Thread ID |                 Name |         Average |             Min |             Max |            Call 
           3620 |                alloc |     1619.179 us |     1080.000 us |     7325.000 us |           99998 
           3620 |                 free |     2260.477 us |     1429.000 us |    16646.000 us |           99998 
           8592 |                alloc |     1617.324 us |     1076.000 us |     5528.000 us |           99998 
           8592 |                 free |     2214.816 us |     1305.000 us |    10244.000 us |           99998 
          11728 |                alloc |     1603.040 us |      961.000 us |     5006.000 us |           99998 
          11728 |                 free |     2299.797 us |     1305.000 us |     9835.000 us |           99998 
          10700 |                  new |     8182.470 us |     4261.000 us |   191193.000 us |           99998 
          10700 |               delete |     8871.508 us |     3139.000 us |   166583.000 us |           99998 
          11464 |                  new |     7958.947 us |     4191.000 us |   149609.000 us |           99998 
          11464 |               delete |     8620.226 us |     2926.000 us |    86582.000 us |           99998 
          10732 |                  new |     7870.776 us |     4181.000 us |   334413.000 us |           99998 
          10732 |               delete |     8662.872 us |     2892.000 us |    92389.000 us |           99998 
